	reply_settings	created_at	lang	conversation_id	author_id	text	edit_history_tweet_ids	id	referenced_tweets	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id
19	everyone	2023-03-09T03:24:35.000Z	en	1633670086031712257	206304115	RT @ZaleskiLuke: @catturd2 Current MAGA position on this is it never happened, was incited by the FBI, Nancy did it, the insurrectionists a…	['1633670086031712257']	1633670086031712257	[{'type': 'retweeted', 'id': '1633481942208266241'}]	21	0	0	0	0		
20	everyone	2023-03-09T03:24:35.000Z	en	1633670086002368512	156708247	"RT @BillKristol: ""McCarthy and Fox are afraid of alienating all their insurrection-happy viewers, voters, and colleagues...They've all coll…"	['1633670086002368512']	1633670086002368512	[{'type': 'retweeted', 'id': '1633636854988697603'}]	95	0	0	0	0		
21	everyone	2023-03-09T03:24:35.000Z	en	1633670085759098881	281383605	"RT @aprivateguy: Why does #MarjorieTaylorGreene care so much about #January6th rioters in jail?

If her &amp; #TuckerCarlson say they're not #T…"	['1633670085759098881']	1633670085759098881	[{'type': 'retweeted', 'id': '1633630917641261056'}]	5	0	0	0	0		
22	everyone	2023-03-09T03:24:34.000Z	en	1633670083875860481	3485372952	RT @ProjectLincoln: “We also agree with what Fox News’s own attorneys and executives have now repeatedly stressed in multiple courts of law…	['1633670083875860481']	1633670083875860481	[{'type': 'retweeted', 'id': '1633610944302714881'}]	464	0	0	0	0		
23	everyone	2023-03-09T03:24:34.000Z	en	1633670082453995521	1531281431053230080	"RT @TristanSnell: Mifepristone is also a preferred med to help women with miscarriages. 

So Walgreens will also be denying these women fro…"	['1633670082453995521']	1633670082453995521	[{'type': 'retweeted', 'id': '1632921712382582784'}]	409	0	0	0	0		
24	everyone	2023-03-09T03:24:30.000Z	en	1633670067710832641	954469582558777344	RT @ProjectLincoln: “We also agree with what Fox News’s own attorneys and executives have now repeatedly stressed in multiple courts of law…	['1633670067710832641']	1633670067710832641	[{'type': 'retweeted', 'id': '1633610944302714881'}]	464	0	0	0	0		
25	everyone	2023-03-09T03:24:29.000Z	en	1633670060727312385	2661818219	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633670060727312385']	1633670060727312385	[{'type': 'retweeted', 'id': '1633546143337680897'}]	2619	0	0	0	0		
26	everyone	2023-03-09T03:24:28.000Z	en	1633670057040510978	1618576172777967616	RT @ybarrap: The MAGA folks on this thread are tying themselves up in a pretzel trying to explain away Tucker's passionate hatred of Trump…	['1633670057040510978']	1633670057040510978	[{'type': 'retweeted', 'id': '1633609843050176517'}]	168	0	0	0	0		
27	everyone	2023-03-09T03:24:27.000Z	en	1632924711511261185	1448170395132067842	@HookJameson @berry_mory @jazzgeek @DonaldJTrumpJr I stole that from a MAGA turd. 😂	['1633670053898997760']	1633670053898997760	[{'type': 'replied_to', 'id': '1633649271496130560'}]	0	0	0	0	1	1423049917220614145	
28	everyone	2023-03-09T03:24:26.000Z	en	1633670047515447297	22844639	"RT @MojackMarine: So...
Anyway...
Getting my H-cut today...
Listening to MAGA redneck mental diarrhea...
ALL AROUND ME!
These people are fu…"	['1633670047515447297']	1633670047515447297	[{'type': 'retweeted', 'id': '1633666498848858113'}]	6	0	0	0	0		
29	everyone	2023-03-09T03:24:25.000Z	en	1633670046009503748	586308135	Fact of life: Conservatives (MAGA) do not attack cops &amp; do not riot. They might be trusting enough to wander into a government building, but crimes? No. https://t.co/sqHCWhU9uE	['1633670046009503748']	1633670046009503748	[{'type': 'quoted', 'id': '1633656450768666629'}]	0	0	0	0	0		
30	everyone	2023-03-09T03:24:25.000Z	en	1633670045917167618	1515420418684903428	Daily Reminder 🇺🇸💕 #MAGA https://t.co/auIHjSHv6q	['1633670045917167618']	1633670045917167618		0	0	0	0	2		
31	everyone	2023-03-09T03:24:24.000Z	en	1633670038778413056	1251253053040271369	RT @ZaleskiLuke: You’ll never convince any MAGA that they are not both the victim and hero in everything. In fact the core nature of most T…	['1633670038778413056']	1633670038778413056	[{'type': 'retweeted', 'id': '1633594381851676674'}]	18	0	0	0	0		
32	everyone	2023-03-09T03:24:23.000Z	en	1633670035708297216	822504009323970561	"RT @KeysLiisa: Hindsight… 🥓
@baddaddee 
@cmlyon67
@smrose29
@trisagoras
@j9orange13
@Corgi_MAGA
@Traces_Place
@Mayflower_21
@WhalenMona
@Tw…"	['1633670035708297216']	1633670035708297216	[{'type': 'retweeted', 'id': '1633661955352174592'}]	6	0	0	0	0		
33	everyone	2023-03-09T03:24:21.000Z	en	1633670027328229376	1092836610738188289	RT @PeteAguilar: If MAGA Republicans in Congress achieve their goal of overturning the Affordable Care Act, forty million Americans will lo…	['1633670027328229376']	1633670027328229376	[{'type': 'retweeted', 'id': '1633633699747995649'}]	35	0	0	0	0		
34	everyone	2023-03-09T03:24:21.000Z	en	1633670026384244739	123266837	RT @OccupyDemocrats: BREAKING: Donald Trump is reportedly considering picking election-denying MAGA loser Kari Lake as his Vice Presidentia…	['1633670026384244739']	1633670026384244739	[{'type': 'retweeted', 'id': '1633549364802260992'}]	319	0	0	0	0		
35	everyone	2023-03-09T03:24:20.000Z	en	1633488451097034756	1601971023364214789	@atensnut You fear for a liar, who idiots like you still believe after he admittedly lied about everything he “reports” on?!? Maybe you should pray for your own safety…mentally that is. You are the BIGGEST MAGA sheep on Twitter and it’s fucking pathetic. 🐑🐑🐑	['1633670022693257217']	1633670022693257217	[{'type': 'replied_to', 'id': '1633488451097034756'}]	0	0	0	0	0	22677397	
36	everyone	2023-03-09T03:24:16.000Z	en	1633670007614996481	3407699637	MAGA’s ‘Election Wizard’ Conspiracy Theorist Is Actually an Oklahoma Cop https://t.co/kbvVMhDBql via @vicenews	['1633670007614996481']	1633670007614996481		0	0	0	0	0		
37	everyone	2023-03-09T03:24:14.000Z	en	1633670000568328192	1306399738598748160	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633670000568328192']	1633670000568328192	[{'type': 'retweeted', 'id': '1633546143337680897'}]	2619	0	0	0	0		
38	everyone	2023-03-09T03:24:11.000Z	en	1633669986312155139	2283278034	RT @Docziggy: MAGA science classes are going fetchingly!! https://t.co/7RP1qBcbZH	['1633669986312155139']	1633669986312155139	[{'type': 'retweeted', 'id': '1633626273741152256'}]	17	0	0	0	0		
39	everyone	2023-03-09T03:24:10.000Z	en	1633669982532915202	1234212238908678145	RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…	['1633669982532915202']	1633669982532915202	[{'type': 'retweeted', 'id': '1633600197602476033'}]	796	0	0	0	0		
40	everyone	2023-03-09T03:24:09.000Z	en	1633669978611236864	1015253439557849094	RT @joncoopertweets: Follow @TrendingLiberal for the full story on the very troubled story on what this guy is accused of – and more excell…	['1633669978611236864']	1633669978611236864	[{'type': 'retweeted', 'id': '1633667930721521665'}]	5	0	0	0	0		
41	everyone	2023-03-09T03:24:09.000Z	en	1633641407393984512	1632480503830806528	@Adam0902731 @AdamKinzinger Avoiding a simple, direct question indicates that you have an issue with cognition, or are triggered…what is it about the “MAGA snowflake garbage”, whatever that is, that triggers you so much?	['1633669977084514304']	1633669977084514304	[{'type': 'replied_to', 'id': '1633668095624757248'}]	0	0	0	0	0	1503939859429588997	
42	everyone	2023-03-09T03:24:07.000Z	en	1633533400933089280	356446227	@Steve_Maga @LeoRautins @TDSB_Oakwood @Paul__Jones @ofsaabasketball Thank you sir. But Anthony Miller did a great job of coaching these guys all season.	['1633669968918204416']	1633669968918204416	[{'type': 'replied_to', 'id': '1633669762839375874'}]	0	0	1	0	0	114263965	
43	everyone	2023-03-09T03:24:07.000Z	en	1633269958489649153	1551782187464155138	@dodgysin1 @KurtKaalaas @RealCandaceO @TuckerCarlson I don’t mind disagreeing, it’s healthy. I think the biggest problem we have as Americans is the fact that we are being torn apart by misinformation. Fox being a big proponent of a lie that have fired up MAGA under false pretenses. We need an overhaul with actual investigations.	['1633669967681052672']	1633669967681052672	[{'type': 'replied_to', 'id': '1633669187548901376'}]	0	0	1	0	3	1079737486069325825	
44	everyone	2023-03-09T03:24:06.000Z	en	1633503343891890177	1592205791322177536	@WokeArchive @EndWokeness MAGA males should identify as women.  God knows no one thinks of them as men.	['1633669964954730496']	1633669964954730496	[{'type': 'replied_to', 'id': '1633503865289994241'}]	0	0	0	0	2	1558561668204052485	
45	everyone	2023-03-09T03:24:05.000Z	en	1633669962412834816	1502784096661082123	"RT @kalmantibs: Don't blink. This is who MAGA Republicans are. They're not even trying to hide it anymore.

""All 26 Republicans on the Repu…"	['1633669962412834816']	1633669962412834816	[{'type': 'retweeted', 'id': '1633409026439405568'}]	339	0	0	0	0		
46	everyone	2023-03-09T03:24:05.000Z	en	1633669962303766529	1190405733130498048	RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…	['1633669962303766529']	1633669962303766529	[{'type': 'retweeted', 'id': '1633600197602476033'}]	796	0	0	0	0		
47	everyone	2023-03-09T03:24:04.000Z	en	1633669955739688960	1439844421	RT @OccupyDemocrats: If you're horrified that MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law…	['1633669955739688960']	1633669955739688960	[{'type': 'retweeted', 'id': '1633548281304473600'}]	161	0	0	0	0		
48	everyone	2023-03-09T03:24:03.000Z	en	1633669954682728449	1342666448469159936	"RT @mollie_don: They say it was MAGA because they were wearing MAGA items. 

A capitol officer admitted he wore a MAGA to blend in. 

How m…"	['1633669954682728449']	1633669954682728449	[{'type': 'retweeted', 'id': '1633540145386250246'}]	21	0	0	0	0		
49	everyone	2023-03-09T03:24:02.000Z	en	1633142211226238977	1343694240468099073	"@machado1936 @jeremy3s @StrikeNerves3x @PhilHolz1776 @ReallyAmerican1 @OccupyDemocrats You know what’s brave? 

You retweet debunked conspiracy theories and side with traitorous, cousin-fucking MAGA retards all while you adorn your little profile with American flags and eagles. 

There’s no helping retards like you. 💁"	['1633669948978413568']	1633669948978413568	[{'type': 'replied_to', 'id': '1633624485843591168'}]	0	0	0	0	0	1603934365553246208	
50	everyone	2023-03-09T03:24:01.000Z	en	1633649844223918080	1593006195278839808	@JackPosobiec Send the ultra maga LARPers!	['1633669945539301376']	1633669945539301376	[{'type': 'replied_to', 'id': '1633649844223918080'}]	0	0	0	0	0	592730371	
51	everyone	2023-03-09T03:24:00.000Z	en	1633669941638361091	1575628379985891328	"RT @Czesc45: @DollArntzen Thank you so much my dearest friend Doll and all MAGA friends! ❤️

It has been very rocky road for me here on Twi…"	['1633669941638361091']	1633669941638361091	[{'type': 'retweeted', 'id': '1632576115884564480'}]	119	0	0	0	0		
52	everyone	2023-03-09T03:24:00.000Z	en	1633669941403500544	124903177	RT @amandacarpenter: New from me: What McCarthy is doing for power is precisely what Fox does to retain its ratings. Unsure how to navigate…	['1633669941403500544']	1633669941403500544	[{'type': 'retweeted', 'id': '1633571502145826816'}]	56	0	0	0	0		
53	everyone	2023-03-09T03:23:59.000Z	en	1633669937595322374	1299103665400078336	"RT @MojackMarine: So...
Anyway...
Getting my H-cut today...
Listening to MAGA redneck mental diarrhea...
ALL AROUND ME!
These people are fu…"	['1633669937595322374']	1633669937595322374	[{'type': 'retweeted', 'id': '1633666498848858113'}]	6	0	0	0	0		
54	everyone	2023-03-09T03:23:58.000Z	en	1633669931530108928	1595163402355281927	Got MAGA ?    @MelaniaTrump https://t.co/rFACkwasCo	['1633669931530108928']	1633669931530108928		0	0	0	0	1		
55	everyone	2023-03-09T03:23:57.000Z	en	1633669929491652608	719622353974661120	"RT @danbenbow: I read all the #MAGA comments on yesterday's 10K-viewership post about #GOPSeditiousTraitors
Dozens &amp; not a single coherent,…"	['1633669929491652608']	1633669929491652608	[{'type': 'retweeted', 'id': '1633247854327218176'}]	132	0	0	0	0		
56	everyone	2023-03-09T03:23:56.000Z	en	1633669924794290176	336495363	"RT @OccupyDemocrats: BREAKING: Former GOP Rep. Liz Cheney says ""bring it on"" to rumors that MAGA Republicans plan to launch their own inves…"	['1633669924794290176']	1633669924794290176	[{'type': 'retweeted', 'id': '1633575645581307904'}]	904	0	0	0	0		
57	everyone	2023-03-09T03:23:55.000Z	en	1627424932148703236	836721050008313857	"@bdonesem @PRESIDE28399984 @Gentleman2741 @sis2you @45mx_7 @Tex_2A @bitemecommies @PeriklesGREAT @PositiveAbraham @trustjesus333 @JohnC32116200 @Carolyn143413 @dreams_Bcn @EndRaceHating @windsandstrings @Janetlynne211 @WaterburyKevin @oh_laa_laa Thank you for including me Al-Faisal @bdonesem. 

#AllLivesMatter #BidenBorderCrisis #CanadaIsBroken #DemocratsHateAmerica #DrainTheSwamp #GoWokeGoBroke #ImpeachBiden #LockHerUp #MAGA #ProLife #TrudeauDestroyingCanada #TrudeauMustGo #TrudeauOUT #Trump2024 #TrumpWon #UltraMAGA https://t.co/aZ1V18LJcP"	['1633669920650084352']	1633669920650084352	[{'type': 'replied_to', 'id': '1627424932148703236'}]	0	0	0	0	1	137144052	
58	everyone	2023-03-09T03:23:54.000Z	en	1633669914811838464	108764893	RT @HoosierRebel44: @SpeakerMcCarthy 60 days and NOTHING has been done in the MAGA Republican controlled House of Representatives.	['1633669914811838464']	1633669914811838464	[{'type': 'retweeted', 'id': '1633585356581793792'}]	5	0	0	0	0		
59	everyone	2023-03-09T03:23:54.000Z	en	1633669913976995842	1439844421	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633669913976995842']	1633669913976995842	[{'type': 'retweeted', 'id': '1633546143337680897'}]	2619	0	0	0	0		
60	everyone	2023-03-09T03:23:53.000Z	en	901233427525107712	2759124163	"@justasimplema20 @Jerseycy11 @CarrieAMaze23 @MAGA_Translator @mrsmaisy @Jay_see_see @ThereseOSulliv2 @SmartUSAPat1 @Julie_NoNumbers @AngryFleas @BluesElmwood @NunuLives @antiLibmob @GaryIsTheDad @KidRockFan4 @CraigCastleber1 @Kellyring @jimaw63 @TheSeriousOne56 @TruthisnotT @darstin1957 @therealBFizzzle @marie745640 @C0DE_W4RR10R @hrt6017 @srasberry1 @jbizzy6969 @Tommy15819423 @bluver41 @ArthurP41275988 @JamesLauder12 @nitros1954 @sammk1964 @HamRadioJoe @CommentPleasure @MarkBatin @gmail_hess @realZacharyKent @findtruthinside @CriticaSinMiedo @andrew7rd @jyurgealitis @WeRtheArmy @phil_denton @ItsBT50 @theromsey @f505eb72b9cd493 @JustinTrudeau @JoeBiden How many cops were assaulted? Did they break thru barriers to get in? Any windows or doors broken? 
False equivalence is the weakest of all comparisons."	['1633669911196192768']	1633669911196192768	[{'type': 'replied_to', 'id': '1633630366333386753'}]	0	0	1	0	6	1412797432803512327	
61	everyone	2023-03-09T03:23:52.000Z	en	1633669907203104770	350437162	"RT @SethAbramson: WP: “Coercive Conservatism” Runs Rampant

MAGA continues to shed its snakeskin, revealing the BIG GOVERNMENT agenda it’s…"	['1633669907203104770']	1633669907203104770	[{'type': 'retweeted', 'id': '1633667862576373763'}]	43	0	0	0	0		
