	reply_settings	created_at	edit_history_tweet_ids	conversation_id	author_id	referenced_tweets	lang	text	id	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	geo.place_id	in_reply_to_user_id
19	everyone	2023-03-09T22:05:55.000Z	['1633952280147021826']	1633952280147021826	1299478375715672065	[{'type': 'retweeted', 'id': '1633926557948592128'}]	en	"RT @markymark757: McCarthy is a Speaker in Name Only.  He betrayed our democracy with all the ""deals"" he made with the extreme MAGA GOP to…"	1633952280147021826	8	0	0	0	0		
20	everyone	2023-03-09T22:05:54.000Z	['1633952275881160704']	1633950988380897280	1578027752405749763	[{'type': 'replied_to', 'id': '1633950988380897280'}]	en	@WhiteHouse Everything Bidefile says MAGA Republicans want to do , raise taxes, defund police etc. That is what DemF’k’s want to do.	1633952275881160704	0	0	0	0	0		1323730225067339784
21	everyone	2023-03-09T22:05:52.000Z	['1633952265999360000']	1633952265999360000	1227391816644866048	[{'type': 'retweeted', 'id': '1633596679818444802'}]	en	RT @JessicaUSAF: The new leader of the Maga Republican Party keeps placing people that are part of the problems as heads of committees &amp; do…	1633952265999360000	9	0	0	0	0		
22	everyone	2023-03-09T22:05:51.000Z	['1633952264120303616']	1633952264120303616	1043863859495407616	[{'type': 'retweeted', 'id': '1633951374063947777'}]	en	RT @ericsfedup: It’s awesome knowing us MAGA Republicans are in President Stumble Fucks head!!!	1633952264120303616	5	0	0	0	0		
23	everyone	2023-03-09T22:05:51.000Z	['1633952263998959616']	1633952263998959616	1607958560213983232	[{'type': 'retweeted', 'id': '1633919039981461505'}]	en	"RT @greg_price11: Biden: ""MAGA Republicans are calling for defunding the police department."" https://t.co/FUiFNXAf5I"	1633952263998959616	526	0	0	0	0		
24	everyone	2023-03-09T22:05:50.000Z	['1633952260291010560']	1633241748666478592	1633936380018425862	[{'type': 'replied_to', 'id': '1633938802480644099'}]	en	@elisr357 @HollyBriden China supports Russia and does not support Ukraine and is anti America. Your maga views are in line with China's views. How does that make you feel?	1633952260291010560	0	0	0	0	1		724706720
25	everyone	2023-03-09T22:05:50.000Z	['1633952258416328706']	1633952258416328706	1633942199766495233	[{'type': 'retweeted', 'id': '1633829656410607617'}]	en	RT @Mollyploofkins: Lauren Boebert's about to be a grandmother at 36. Her 17yr old son's girlfriend just turned 16 (he'll be 18 this month)…	1633952258416328706	1253	0	0	0	0		
26	everyone	2023-03-09T22:05:50.000Z	['1633952257724104705']	1633952257724104705	1237803379516112897	[{'type': 'retweeted', 'id': '1633949685739298816'}]	en	RT @TheRickyDavila: A federal judge just ruled that MAGA hoaxer conspiracist scumbags Jacob Wohl and Jack Burkman violated the KKK Act in t…	1633952257724104705	24	0	0	0	0		
27	everyone	2023-03-09T22:05:49.000Z	['1633952254410768384']	1633952254410768384	1519831338794237953	[{'type': 'retweeted', 'id': '1633502162524200962'}]	en	RT @MAGAPROUD25: Just a reminder again that @RepJeffries and @SenSchumer @RepAdamSchiff and @RepSwalwell  support Antifa and BLM who did th…	1633952254410768384	14	0	0	0	0		
28	everyone	2023-03-09T22:05:49.000Z	['1633952253936812033']	1633952253936812033	1089435687395385345		en	Why the kidnapping of four Americans in #Mexico turned into a political spectacle. #MAGA #GOP @SecMayorkas @SecBlinken @USAmbMex @lopezobrador_ @m_ebrard @mtinkersalas @rubengluengas @pastordc3110 @jaimejourno @julioastillero @GCorreaCabrera @jet1403 https://t.co/A8kJ86YMS9	1633952253936812033	0	0	0	0	0		
29	everyone	2023-03-09T22:05:48.000Z	['1633952251747115009']	1633952251747115009	2416255850	[{'type': 'retweeted', 'id': '1633883429178572815'}]	en	RT @RepSylviaGarcia: To hide their inability to legislate, Republicans have launched a dangerous political circus that’s sole purpose is to…	1633952251747115009	40	0	0	0	0		
30	everyone	2023-03-09T22:05:48.000Z	['1633952248492601351']	1633952248492601351	1554975738633150465	[{'type': 'retweeted', 'id': '1633947845291040769'}]	en	RT @JoeWelker8: guess NO ONE wants to ghost write a book for LOSER donnie so he is just putting some letters in book form and hoping the ma…	1633952248492601351	5	0	0	0	0		
31	everyone	2023-03-09T22:05:47.000Z	['1633952245527068672']	1633952245527068672	22274126	[{'type': 'retweeted', 'id': '1633939563889725440'}]	en	RT @ProjectLincoln: Fox News has selectively edited Trump's interviews so he doesn't sound like he's siding with Putin to give away Ukraine…	1633952245527068672	412	0	0	0	0		
32	everyone	2023-03-09T22:05:46.000Z	['1633952242901327873']	1633883429178572815	261451222	[{'type': 'replied_to', 'id': '1633883429178572815'}]	en	@RepSylviaGarcia Hes not a maga republican.	1633952242901327873	0	0	0	0	1		1080587263132733442
33	everyone	2023-03-09T22:05:46.000Z	['1633952241856987143']	1633952241856987143	261643453		en	Mr. Biden lies about Republicans. He says they wanted to get rid of something that obama passed, ever since he passed it. BUT there were NO MAGA republicans then	1633952241856987143	0	0	0	0	0		
34	everyone	2023-03-09T22:05:46.000Z	['1633952241215328256']	1633849358981513219	1720641698	[{'type': 'replied_to', 'id': '1633849358981513219'}]	en	@tedcruz MAGA Musk got suckered.	1633952241215328256	0	0	0	0	0		23022687
35	everyone	2023-03-09T22:05:45.000Z	['1633952238258343936']	1633952238258343936	1547604042565632011	[{'type': 'quoted', 'id': '1633889830441746432'}]	en	"This is why the left hates them so much. 

These 2 gentlemen are not Republican, one admittedly voted for Biden. Neither like Trump or MAGA. 

All they want to do is tell the truth. The left cannot have that, they feel betrayed. https://t.co/SifWHAZL4W"	1633952238258343936	0	0	0	0	0		
36	everyone	2023-03-09T22:05:44.000Z	['1633952231585378306']	1633952231585378306	1249729843	[{'type': 'retweeted', 'id': '1633948991409778690'}]	en	RT @Janebon34813396: A censored video from January 6th shows ANTIFA rioters being identified and forced from the steps of the Capitol by pe…	1633952231585378306	4	0	0	0	0		
37	everyone	2023-03-09T22:05:43.000Z	['1633952231325323266']	1633952231325323266	221185952	[{'type': 'retweeted', 'id': '1633939563889725440'}]	en	RT @ProjectLincoln: Fox News has selectively edited Trump's interviews so he doesn't sound like he's siding with Putin to give away Ukraine…	1633952231325323266	412	0	0	0	0		
38	everyone	2023-03-09T22:05:43.000Z	['1633952230431682569']	1633952230431682569	1519092079728762880	[{'type': 'retweeted', 'id': '1633280727016939520'}]	en	RT @greg_price11: After nobody responded to his calls to evacuate the Senate on J6, Tarik Johnson was fired for being pictured in a MAGA ha…	1633952230431682569	3051	0	0	0	0		
39	everyone	2023-03-09T22:05:43.000Z	['1633952229311881217']	1633952229311881217	1113770602777673729	[{'type': 'retweeted', 'id': '1633943913512722434'}]	en	"RT @ChuckCallesto: JUST IN:  Joe Biden loses his marbles, claims “MAGA Republicans are calling for defunding the police departments.""

 htt…"	1633952229311881217	254	0	0	0	0		
40	everyone	2023-03-09T22:05:42.000Z	['1633952226866761729']	1633929256815173633	242017731	[{'type': 'replied_to', 'id': '1633929256815173633'}]	en	"@mpukita Are President Wannabes so delusional to believe that your attempts to disparage Our President Trump will achieve anything other than be repudiated by MAGA, America First Patriots

MAGA, America First movement Is
President Trump's Political Party
the largest in US history https://t.co/gPO8mNyAij"	1633952226866761729	0	0	0	0	0		15659178
41	everyone	2023-03-09T22:05:42.000Z	['1633952224484397056']	1633952224484397056	1430249414950416388	[{'type': 'retweeted', 'id': '1633949685739298816'}]	en	RT @TheRickyDavila: A federal judge just ruled that MAGA hoaxer conspiracist scumbags Jacob Wohl and Jack Burkman violated the KKK Act in t…	1633952224484397056	24	0	0	0	0		
42	everyone	2023-03-09T22:05:42.000Z	['1633952224199180289']	1633952224199180289	275378900		en	You know if Kevin McCarthy had given that footage to all media outlets rather than one that was friendly to MAGA it wouldn't have been such a big deal but the fact he gave it to Tucker showed a nefarious motive	1633952224199180289	0	0	0	0	1	5c2b5e46ab891f07	
43	everyone	2023-03-09T22:05:41.000Z	['1633952223032926211']	1633952223032926211	163519254	[{'type': 'retweeted', 'id': '1633951967058731009'}]	en	RT @marc92gold: Is this how McCarthy shakes the rich down for campaign money? By warning that unless they buy more MAGA politicians, the De…	1633952223032926211	1	0	0	0	0		
44	everyone	2023-03-09T22:05:41.000Z	['1633952221657178125']	1633952221657178125	1518618873439961088	[{'type': 'retweeted', 'id': '1633946552980107266'}]	en	"RT @ProudElephantUS: Biden: ""MAGA Republicans are calling for defunding the police department.""

That is a lie. There is not a single Repub…"	1633952221657178125	96	0	0	0	0		
45	everyone	2023-03-09T22:05:41.000Z	['1633952219962679296']	1633922393457524737	1524862580904411149	[{'type': 'replied_to', 'id': '1633922393457524737'}]	en	@JohnAda32739360 No MAGA is smart enough to ever know	1633952219962679296	0	0	0	0	0		860743440
46	everyone	2023-03-09T22:05:41.000Z	['1633952219463655425']	1633952219463655425	1426540208602984456	[{'type': 'retweeted', 'id': '1633847626125680642'}]	en	"RT @twkrh8me11: #2
Tweek🚂
@twkrh8me11 
@3Tony48 
@_djtII 
@PAYthe_PIPER 
@111MagaJen 
@19ALB97 
@1GaryBernstein 
@1NJConservative 
@34rthli…"	1633952219463655425	55	0	0	0	0		
47	everyone	2023-03-09T22:05:40.000Z	['1633952216267608065']	1633952216267608065	2540474364	[{'type': 'retweeted', 'id': '1633929982450778112'}]	en	RT @joncoopertweets: 🔔 “Look, daddy. Teacher says, every time a bell rings a MAGA Republican gets arrested for child porn.” https://t.co/f9…	1633952216267608065	314	0	0	0	0		
48	everyone	2023-03-09T22:05:40.000Z	['1633952215852535809']	1633952215852535809	41757372	[{'type': 'retweeted', 'id': '1633545604516151296'}]	en	"RT @tribelaw: Ethics probe? 

How about charging the dude with stealing federal property and making illegal political contributions to MAGA…"	1633952215852535809	1426	0	0	0	0		
