|reply_settings|id|lang|text|conversation_id|author_id|referenced_tweets|edit_history_tweet_ids|created_at|public_metrics.retweet_count|public_metrics.reply_count|public_metrics.like_count|public_metrics.quote_count|public_metrics.impression_count|in_reply_to_user_id|geo.place_id
19|everyone|1633648402213793792|en|RT @5_2blue: MAGA hoaxer Jacob Wohl found to have violated the KKK Act by federal judge https://t.co/ZcDOWsCErm|1633648402213793792|897749341594673153|[{'type': 'retweeted', 'id': '1633613290860314625'}]|['1633648402213793792']|2023-03-09T01:58:25.000Z|1|0|0|0|0||
20|everyone|1633648400972541952|en|RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…|1633648400972541952|1281414445386723329|[{'type': 'retweeted', 'id': '1633600197602476033'}]|['1633648400972541952']|2023-03-09T01:58:25.000Z|596|0|0|0|0||
21|everyone|1633648398602567681|en|RT @washingtonpost: Sen. J.D. Vance (R-Ohio) campaigned as a MAGA brawler just a few months ago. But on Tuesday, he stood in front of his R…|1633648398602567681|1630482480477138946|[{'type': 'retweeted', 'id': '1633641013708492800'}]|['1633648398602567681']|2023-03-09T01:58:24.000Z|39|0|0|0|0||
22|everyone|1633648398103371776|en|RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…|1633648398103371776|458074129|[{'type': 'retweeted', 'id': '1633600197602476033'}]|['1633648398103371776']|2023-03-09T01:58:24.000Z|596|0|0|0|0||
23|everyone|1633648395134062594|en|RT @RonFilipkowski: Part of the reason why he is failing to draw anyone for his events is right-wingers have figured out he has nothing to…|1633648395134062594|201939627|[{'type': 'retweeted', 'id': '1633432287059558402'}]|['1633648395134062594']|2023-03-09T01:58:23.000Z|1808|0|0|0|0||
24|everyone|1633648391652802561|en|RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…|1633648391652802561|616662426|[{'type': 'retweeted', 'id': '1633600197602476033'}]|['1633648391652802561']|2023-03-09T01:58:22.000Z|596|0|0|0|0||
25|everyone|1633648389681299456|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648389681299456|791767265515479040|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648389681299456']|2023-03-09T01:58:22.000Z|2300|0|0|0|0||
26|everyone|1633648387466862595|en|"@elonmusk @SenSchumer Here's the deal, Daddy Musk, You've turned Twitter into an abortion. Lie all you want about the dumbfuck ""Twitter Files"" and these videos, America still hates your fucking guts and every #MAGA bitch boi who gives you head in their white Ford F150."|1633534991274475521|1633640913871446017|[{'type': 'replied_to', 'id': '1633588333610770433'}]|['1633648387466862595']|2023-03-09T01:58:21.000Z|0|0|0|0|0|44196397|
27|everyone|1633648384094654465|en|"RT @JannaPart2: 😍🤩😍 Happy
#International Women's Day …

To #WomenWithPussies  !!! 😜💋

Woohoo !!! 🎉☀️💥🥳😎🔥

#MAGA ❤️🇺🇸 https://t.co/AGGhaELj2y"|1633648384094654465|364703609|[{'type': 'retweeted', 'id': '1633625754239135744'}]|['1633648384094654465']|2023-03-09T01:58:21.000Z|40|0|0|0|0||
28|everyone|1633648383431966726|en|@dom_lucre The real reason is because He's not part of this Globalist beehive agenda all these elites want us in. Its the same problem they have with the MAGA folks and its the same problem they have with Elon. While Elon believes in natural Globalism.Hes not for the control grid they want|1633311989102526464|1593805402696994817|[{'type': 'replied_to', 'id': '1633311989102526464'}]|['1633648383431966726']|2023-03-09T01:58:20.000Z|0|0|0|0|0|3096147528|
29|everyone|1633648381695279105|en|@donwinslow @cap10d71 @jwpetersNYT @11thHour @SRuhle Most of the maga I know suffer from mental health issues or they are old and easily manipulated. I’m not being a smart ass, it’s a real observation.|1633610236547461122|824780415533715458|[{'type': 'replied_to', 'id': '1633610236547461122'}]|['1633648381695279105']|2023-03-09T01:58:20.000Z|0|0|0|0|0|255812611|
30|everyone|1633648380445356032|en|RT @sauer16: @laralogan They were ANTIFA dressing up as MAGA . https://t.co/RYhp1vlCDo|1633648380445356032|1624219888175796224|[{'type': 'retweeted', 'id': '1633634732553670657'}]|['1633648380445356032']|2023-03-09T01:58:20.000Z|1|0|0|0|0||
31|everyone|1633648377924845568|en|RT @bobclendenin: Fishstick Boy Tuck Tuck airs the explosive video of the Dipshit Shaman wandering around looking lost and Josh Hawley runn…|1633648377924845568|844993680293310468|[{'type': 'retweeted', 'id': '1633641127898394626'}]|['1633648377924845568']|2023-03-09T01:58:19.000Z|7|0|0|0|0||
32|everyone|1633648372660813826|en|RT @AmoneyResists: So sick of MAGA lying about this. YOUR ATTACK GOT AT LEAST SEVEN PEOPLE KILLED. Own it you fucking cowards. https://t.co…|1633648372660813826|2370704707|[{'type': 'retweeted', 'id': '1633360977914650624'}]|['1633648372660813826']|2023-03-09T01:58:18.000Z|78|0|0|0|0||
33|everyone|1633648367808180224|en|@827js @qfd_bruce @WenMaMa2 @AppSame @DFBHarvard @x4Eileen @01IOTA @Coleyufo @jAlmz5 @Imcg_2 @PeriklesGREAT @Tweeklives @Tex_2A @smrose29 @45KAG1 @cleansniper45 @Bree1914 @toypilaNews @Bagel69er @Czesc45 @JohnPot259 @CasanovaX8X @mother_tx @TMzedg @MP1Eye @Pgh_Buz @1MCMN @Pat10th @trainman_lover @livncuckooland @SassyWarrior02 @tutukane @declareonAD @Catbendzick @KevinGills13 @shipmate_68 @AlaskaPatriot1 @PaulaRed62 @AG21D @SaltyBitch_52 @uniquedeehan1 @AGraham81 @45Scooby2 @CreasonJana @5dme81 @Hamletgarcia17 @PecanC8 @TeePal2 @GaryKin007 ~MAGA~We The People~Followers of Jesus Christ Our Lord &amp; Saviour~American Patriotic Nationalist ~ Donald J Trump ~Marjorie Taylor Greene~ Lauren Boebert ~Kristi Noem ~Mayra Flores~Sen. Marsha Blackburn~ https://t.co/03wwctr3HJ|1633163721345232900|1519132288520400896|[{'type': 'replied_to', 'id': '1633571305390735362'}]|['1633648367808180224']|2023-03-09T01:58:17.000Z|0|0|0|0|0|1583448502096502788|
34|everyone|1633648358194659329|en|"RT @CalltoActivism: I don’t care what any MAGA trolls have to say, I am damn proud Joe Biden  is our President. 

Does he have your support…"|1633648358194659329|1502454848209494019|[{'type': 'retweeted', 'id': '1632826172009586688'}]|['1633648358194659329']|2023-03-09T01:58:14.000Z|3041|0|0|0|0||
35|everyone|1633648355602579456|en|RT @PeacefulVegan62: Say it louder so Maga can hear you!! 🎉|1633648355602579456|833916976158224384|[{'type': 'retweeted', 'id': '1633599484922871809'}]|['1633648355602579456']|2023-03-09T01:58:14.000Z|2|0|0|0|0||
36|everyone|1633648342994485249|en|RT @BaddCompani: MAGA Congress Members REFUSE to Utter Two Simple Sentences and are EXPOSED https://t.co/KA02LzwdmN via @YouTube|1633648342994485249|1362578567557701635|[{'type': 'retweeted', 'id': '1633595740101685250'}]|['1633648342994485249']|2023-03-09T01:58:11.000Z|62|0|0|0|0||
37|everyone|1633648342197587968|en|RT @greg_price11: After nobody responded to his calls to evacuate the Senate on J6, Tarik Johnson was fired for being pictured in a MAGA ha…|1633648342197587968|3216901841|[{'type': 'retweeted', 'id': '1633280727016939520'}]|['1633648342197587968']|2023-03-09T01:58:11.000Z|2618|0|0|0|0||
38|everyone|1633648336157777920|en|"@JORGEMA77376542 @TuckerCarlson Avereage is like at least 50%, it’s only the MAGA dummies bro.

Don’t oversell yourself. Remember Tucket hated trump."|1633645117750779904|1244020416265453568|[{'type': 'replied_to', 'id': '1633645117750779904'}]|['1633648336157777920']|2023-03-09T01:58:09.000Z|0|0|0|0|1|1262112397881376775|
39|everyone|1633648335528820736|en|RT @tedlieu: Dear MAGA Folks: Tucker Carlson thinks you are stupid. He tells you one thing but believes the opposite. He is an actor who ro…|1633648335528820736|446806931|[{'type': 'retweeted', 'id': '1633517809958531072'}]|['1633648335528820736']|2023-03-09T01:58:09.000Z|1337|0|0|0|0||
40|everyone|1633648333242748930|en|@EddieMustafa4 @ClayTravis @TuckerCarlson What do you think a jury trial looks like in Washington D.C. for a MAGA guy charged with a political crime?|1633641890254921729|1491866283331272704|[{'type': 'replied_to', 'id': '1633642580436025345'}]|['1633648333242748930']|2023-03-09T01:58:09.000Z|0|0|0|0|1|1408973635965100032|
41|everyone|1633648330780688384|en|"Make America Great Again -- using child labor! 👍

#MAGA #EverythingOld #Fuckabee

https://t.co/i2KoSkGwyZ"|1633648330780688384|1544833258411655170||['1633648330780688384']|2023-03-09T01:58:08.000Z|0|0|0|0|0||
42|everyone|1633648326930231297|en|"RT @benwikler: 🚨 RED ALERT: A MAGA PAC just reserved $3.2 million in TV ads for the April 4 Wisconsin Supreme Court race.

For the next two…"|1633648326930231297|898583175638790145|[{'type': 'retweeted', 'id': '1633545031121350656'}]|['1633648326930231297']|2023-03-09T01:58:07.000Z|1299|0|0|0|0||
43|everyone|1633648313571643392|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648313571643392|921941771478646784|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648313571643392']|2023-03-09T01:58:04.000Z|2300|0|0|0|0||
44|everyone|1633648313256779780|en|RT @notcapnamerica: Republicans are literally taking us back to before the industrial revolution. Child labor. MAGA!|1633648313256779780|120391862|[{'type': 'retweeted', 'id': '1633474361884569602'}]|['1633648313256779780']|2023-03-09T01:58:04.000Z|80|0|0|0|0||
45|everyone|1633648311726141443|en|RT @StormyBotK: You are just foul @Liz_Chaney. You got spanked big time in your election, that should have been your hint, that NO ONE want…|1633648311726141443|1522989921031671808|[{'type': 'retweeted', 'id': '1633560491107962880'}]|['1633648311726141443']|2023-03-09T01:58:03.000Z|149|0|0|0|0||
46|everyone|1633648307791712256|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648307791712256|736310849971703809|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648307791712256']|2023-03-09T01:58:02.000Z|2300|0|0|0|0||
47|everyone|1633648307695235072|en|"RT @DrewTCorbin1: @DonaldJTrumpJr Lmao ... #FoxNewsLies to #MAGA to keep rating up. 

#IHateHimPassionately 

https://t.co/ElypDVgieA"|1633648307695235072|1574863525499080706|[{'type': 'retweeted', 'id': '1633643992305872897'}]|['1633648307695235072']|2023-03-09T01:58:02.000Z|1|0|0|0|0||
48|everyone|1633648306663436288|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648306663436288|1338511177232551937|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648306663436288']|2023-03-09T01:58:02.000Z|2300|0|0|0|0||
49|everyone|1633648305551843328|en|@MonicaCrowley You people are all terrorists, maga  Republicans  followers and congress.|1633165346046636061|1573127531514953729|[{'type': 'replied_to', 'id': '1633165346046636061'}]|['1633648305551843328']|2023-03-09T01:58:02.000Z|0|0|0|0|0|166990746|
50|everyone|1633648305409228802|en|@MAGA_Link @GovernorHobbs Classic.....lmao|1633535555920347137|1627484307529908224|[{'type': 'replied_to', 'id': '1633578685461590016'}]|['1633648305409228802']|2023-03-09T01:58:02.000Z|0|0|0|0|0|1576638924956516366|
51|everyone|1633648303312338945|en|RT @Lindsae509: J6 was an insurrection.  TFG, MAGA, the GQP, and Fox are all to blame.|1633648303312338945|738759178139770880|[{'type': 'retweeted', 'id': '1633646533970382849'}]|['1633648303312338945']|2023-03-09T01:58:01.000Z|6|0|0|0|0||
52|everyone|1633648302972448768|en|RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…|1633648302972448768|953704919965429760|[{'type': 'retweeted', 'id': '1633600197602476033'}]|['1633648302972448768']|2023-03-09T01:58:01.000Z|596|0|0|0|0||
53|everyone|1633648299667226625|en|RT @cardon_brian: Jamie Raskin (D-MD) #Fresh out of fucks to give calls out the nihilistic, Orwellian Ultra Maga Republicans and I am here…|1633648299667226625|587131088|[{'type': 'retweeted', 'id': '1633598051045588999'}]|['1633648299667226625']|2023-03-09T01:58:01.000Z|210|0|0|0|0||
54|everyone|1633648299180949505|en|RT @Andie00471: Dear Maga Nimwits, if Ashli Babbitt had every right to enter The US Capitol as a 'peaceful tourist', why was she crawling t…|1633648299180949505|824825637676294144|[{'type': 'retweeted', 'id': '1633545399515357197'}]|['1633648299180949505']|2023-03-09T01:58:00.000Z|158|0|0|0|0||
55|everyone|1633648298933321729|en|RT @TheRickyDavila: What Tucker Carlson did last night by picking certain clips to pretend the insurrection didn’t exist is beyond evil and…|1633648298933321729|32602726|[{'type': 'retweeted', 'id': '1633151656392261632'}]|['1633648298933321729']|2023-03-09T01:58:00.000Z|521|0|0|0|0||
56|everyone|1633648298442588164|en|"Awww, poor baby, happily he's not the darling of the right anymore. Seems he's losing his ability to draw crowds.

The making of Kyle Rittenhouse, MAGA celebrity wannabe https://t.co/rIwBZk3w3v via @MotherJones"|1633648298442588164|1422057755179892740||['1633648298442588164']|2023-03-09T01:58:00.000Z|0|0|0|0|1||
57|everyone|1633648296265940992|en|"Jim Jordan Just Flattened Biden’s Legacy  #MAGA #TRUMP2024 #Trump

https://t.co/mIsB6xRcnl"|1633648296265940992|1574096740696920065||['1633648296265940992']|2023-03-09T01:58:00.000Z|0|0|0|0|0||
58|everyone|1633648295041204225|en|RT @RonFilipkowski: Part of the reason why he is failing to draw anyone for his events is right-wingers have figured out he has nothing to…|1633648295041204225|768514130|[{'type': 'retweeted', 'id': '1633432287059558402'}]|['1633648295041204225']|2023-03-09T01:57:59.000Z|1808|0|0|0|0||
59|everyone|1633648291664605185|en|"@JoJoFromJerz Here’s a video of antifa on January 6 changing from black block to Maga gear.

https://t.co/Aevbkdr7r1"|1633539859036921878|1519977062219620352|[{'type': 'quoted', 'id': '1633604027610017793'}, {'type': 'replied_to', 'id': '1633539859036921878'}]|['1633648291664605185']|2023-03-09T01:57:59.000Z|0|0|0|0|2|818893114979061761|
60|everyone|1633648286807498755|en|RT @OccupyDemocrats: BREAKING: Donald Trump is reportedly considering picking election-denying MAGA loser Kari Lake as his Vice Presidentia…|1633648286807498755|40898116|[{'type': 'retweeted', 'id': '1633549364802260992'}]|['1633648286807498755']|2023-03-09T01:57:57.000Z|285|0|0|0|0||
61|everyone|1633648280814092290|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648280814092290|32747056|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648280814092290']|2023-03-09T01:57:56.000Z|2300|0|0|0|0||
62|everyone|1633648279844945921|en|"RT @lindyli: We are just 4 weeks away from the MOST important race in 2023 &amp; we need ALL hands on deck!

A MAGA SuperPac just dropped $3 MI…"|1633648279844945921|898583175638790145|[{'type': 'retweeted', 'id': '1633571174230654981'}]|['1633648279844945921']|2023-03-09T01:57:56.000Z|211|0|0|0|0||
63|everyone|1633648278926512128|en|"RT @lindyli: We are just 4 weeks away from the MOST important race in 2023 &amp; we need ALL hands on deck!

A MAGA SuperPac just dropped $3 MI…"|1633648278926512128|1333051508066312192|[{'type': 'retweeted', 'id': '1633571174230654981'}]|['1633648278926512128']|2023-03-09T01:57:56.000Z|211|0|0|0|0||
64|everyone|1633648278406574082|en|RT @gary_kline: @OccupyDemocrats Ron Meatball DeSantis made overt attempts to look like Donald Trump in mannerisms and speech. His hand ges…|1633648278406574082|114048914|[{'type': 'retweeted', 'id': '1633614794447024134'}]|['1633648278406574082']|2023-03-09T01:57:55.000Z|4|0|0|0|0||
65|everyone|1633648276720480257|en|RT @joncoopertweets: If you stand for Democracy, voting rights, and women's rights, please help spread awareness so Wisconsin Supreme Court…|1633648276720480257|40997579|[{'type': 'retweeted', 'id': '1633571496227655681'}]|['1633648276720480257']|2023-03-09T01:57:55.000Z|309|0|0|0|0||
66|everyone|1633648272014278656|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648272014278656|1281547534901682177|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648272014278656']|2023-03-09T01:57:54.000Z|2300|0|0|0|0||
67|everyone|1633648270311407616|en|@RonFilipkowski Mel Gibson looks terrible. The MAGA hate eats them up.|1633541999105040409|1439017907124637696|[{'type': 'replied_to', 'id': '1633541999105040409'}]|['1633648270311407616']|2023-03-09T01:57:54.000Z|0|0|0|0|0|1298372735383605249|
68|everyone|1633648268021252097|en|RT @RonLebow: From Trump’s Retribution Call to Violence speech to McCarthy giving the 1/6 tapes to FOX which then apparently aired a slante…|1633648268021252097|1027727549550526464|[{'type': 'retweeted', 'id': '1633195507861577729'}]|['1633648268021252097']|2023-03-09T01:57:53.000Z|16|0|0|0|0||
