	created_at	conversation_id	text	edit_history_tweet_ids	reply_settings	referenced_tweets	lang	id	in_reply_to_user_id	author_id	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count
17	2023-03-06T11:59:27.000Z	1632712494195044354	https://t.co/LljYUFQOPS Nice happy to see this now! @fantasy8193 @3s1ir4Sz @Mojtaba50371668 @Anton___1993 @Vuonganh23 @DurkMicheal @botsubang @qs687232 @sandraopis @tya_maga @nanami0626_1573 @elserafin35 @zeynabouniang @kaminomiya321	['1632712494195044354']	everyone		en	1632712494195044354		2649083412	0	0	0	0	9
18	2023-03-06T11:59:24.000Z	1632712481792507906	RT @Lilygf: We should all go out to the streets and protest Trump and Maga.	['1632712481792507906']	everyone	[{'type': 'retweeted', 'id': '1632548318264848386'}]	en	1632712481792507906		83963204	8	0	0	0	0
19	2023-03-06T11:59:23.000Z	1632712478839676930	RT @TommasinaResist: Early example of the damage of religious fanaticism. What a sick &amp; paranoid man he must have been, to fear cats. The E…	['1632712478839676930']	everyone	[{'type': 'retweeted', 'id': '1632428096757329921'}]	en	1632712478839676930		23763190	123	0	0	0	0
20	2023-03-06T11:59:22.000Z	1632504447372005376	@ElijahSchaffer If the tape had a MAGA symbol on it, it would be disgusting violence, literally worse that Hitler.	['1632712474385367043']	everyone	[{'type': 'replied_to', 'id': '1632504447372005376'}]	en	1632712474385367043	350822109	1431341638509531136	0	0	2	0	40
21	2023-03-06T11:59:20.000Z	1632712466437222402	"RT @MichaelArt123: Rep. Jamie Raskin
Well, my proud ""ultra MAGA"" colleagues insist, alas, on their grating political grammar. But we’re not…"	['1632712466437222402']	everyone	[{'type': 'retweeted', 'id': '1632539267334389760'}]	en	1632712466437222402		82495580	14	0	0	0	0
22	2023-03-06T11:59:20.000Z	1632712463153086466	RT @AnthonyBigtoe: @azardey3 @TheDemocrats @OccupyDemocrats @RonFilipkowski He’s still around ?  I guess using the MAGA path is the only la…	['1632712463153086466']	everyone	[{'type': 'retweeted', 'id': '1632564985107828736'}]	en	1632712463153086466		3296160681	1	0	0	0	0
23	2023-03-06T11:59:16.000Z	1632712446015156224	RT @ZaleskiLuke: Trump was the attack. He’s Putin’s human malware and he’s literally dividing and conquering America. Have a nice national…	['1632712446015156224']	everyone	[{'type': 'retweeted', 'id': '1632711175161954306'}]	en	1632712446015156224		1101525794470400000	68	0	0	0	0
24	2023-03-06T11:59:15.000Z	1632701234632163328	#MAGA prefers “White” pages and a blank mind to the Holy Scripture written in ink on paper. Great replacement anxiety is based on racism : it attacks people based on their appearance : “brown” “black” “red” “Asian looking” might people be good Christian. It’s plain stupid.	['1632712445109125120']	everyone	[{'type': 'replied_to', 'id': '1632708509073657859'}]	en	1632712445109125120	1485299360439091204	1485299360439091204	0	1	0	0	22
25	2023-03-06T11:59:14.000Z	1632572429028425729	@RepMTG Send the Capitol police and tell them thereare MAGA republicans at the construction site. They would have taken care of ever last one of the Antifa rioters.	['1632712437836251137']	everyone	[{'type': 'replied_to', 'id': '1632572429028425729'}]	en	1632712437836251137	1344356576786866176	1518720814178349056	0	0	0	0	7
26	2023-03-06T11:59:14.000Z	1632712437488050176	RT @jkbjournalist: The MAGA-fication of North Idaho College https://t.co/V4O7v87Gm6	['1632712437488050176']	everyone	[{'type': 'retweeted', 'id': '1632701556901523456'}]	en	1632712437488050176		236955375	24	0	0	0	0
