	reply_settings	id	lang	text	conversation_id	author_id	referenced_tweets	edit_history_tweet_ids	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes
18	everyone	1633676718522384385	en	RT @Apex_WW: Pentagon says Russia supplying fuel for Chinese warheads  https://t.co/ZRIpac06jN	1633676718522384385	884648612	[{'type': 'retweeted', 'id': '1633645032698949632'}]	['1633676718522384385']	2023-03-09T03:50:56.000Z	11	0	0	0	0				
19	everyone	1633676717159055360	en	"RT @GulagLobbyist: Stalin was born in Georgio, ruled in Russia
  
H**ler in Austria , ruled in Germany 

Napoleon in Corsica , ruled in Fra…"	1633676717159055360	1499019107647119364	[{'type': 'retweeted', 'id': '1633668896057073665'}]	['1633676717159055360']	2023-03-09T03:50:56.000Z	7	0	0	0	0				
20	everyone	1633676715300909057	en	"RT @visegrad24: BREAKING: 

A few minutes ago, Russia fired an additional wave of cruise missiles from the Black Sea over Moldovan air spac…"	1633676715300909057	912739478367858688	[{'type': 'retweeted', 'id': '1633643958138970113'}]	['1633676715300909057']	2023-03-09T03:50:55.000Z	982	0	0	0	0				
21	everyone	1633676714248110080	en	"❤️
The Russian cops are very helpful and kind.

#USSR was such a fun place. Uneducated Americans and Britons who never set foot upon the holy land of Russia wrote nonsense and made stupid films. https://t.co/k7nOtu1kPR"	1633676714248110080	1548990541597392897	[{'type': 'quoted', 'id': '1633556967917596672'}]	['1633676714248110080']	2023-03-09T03:50:55.000Z	0	0	0	0	0				
22	everyone	1633676711794716673	en	RT @KimDotcom: The US Govt funded the research that created Covid-19 and killed millions, blew up the NordStream pipelines in an act of int…	1633676711794716673	1590056858194046976	[{'type': 'retweeted', 'id': '1633517462137475072'}]	['1633676711794716673']	2023-03-09T03:50:54.000Z	3081	0	0	0	0				
23	everyone	1633676708480942081	en	"RT @Studios2V: ⚡️Actor Henry Cavill gave $ 1 million to the victims of the earthquake in Turkey and Syria.

#MilitaryHighCommand #landlord…"	1633676708480942081	1073083321326886912	[{'type': 'retweeted', 'id': '1633432422393040896'}]	['1633676708480942081']	2023-03-09T03:50:54.000Z	23	0	0	0	0				
24	everyone	1633676708296679426	en	RT @KimDotcom: The 2024 election is too far away. The US proxy war in Ukraine will likely escalate into a direct NATO war with Russia this…	1633676708296679426	1303832029147013120	[{'type': 'retweeted', 'id': '1632187208471040000'}]	['1633676708296679426']	2023-03-09T03:50:54.000Z	733	0	0	0	0				
25	everyone	1633676708103553024	en	@kearneyiowa @IAGovernor really great hiring someone with NO EXPERIENCE in education! Just part of your power grab? Ya you will recruit people to your state with your pets what trying to be like the governor of Florida you can take your dictator wannabes to Russia	1633635153900716032	1107805439591354368	[{'type': 'replied_to', 'id': '1633635153900716032'}]	['1633676708103553024']	2023-03-09T03:50:54.000Z	0	0	0	0	0	260518038			
26	everyone	1633676706962714627	en	@RepMTG @RepMattGaetz Comrade Marge, Russia’s biggest cheerleader has a knack for spreading lies and misinformation creating false narratives to whip the GOP base into a frenzy.  The US isn’t sending troops into combat, troops are inspecting weapons deliveries, providing embassy security, etc	1633558529146585089	975878993361719297	[{'type': 'replied_to', 'id': '1633558529146585089'}]	['1633676706962714627']	2023-03-09T03:50:53.000Z	0	0	0	0	0	1344356576786866176			
27	everyone	1633676705343651840	en	RT @WalshFreedom: Of course Trump said he would’ve given parts of Ukraine to Russia. And of course @FoxNews edited out Trump saying that.	1633676705343651840	1499519667743956996	[{'type': 'retweeted', 'id': '1633656203589955586'}]	['1633676705343651840']	2023-03-09T03:50:53.000Z	106	0	0	0	0				
28	everyone	1633676705096425477	en	@thehill Zalinski is an idiot. Ukraine will never defeat Russia who's a nuclear power with 6K nuclear weapons. The people in the US government are going to get everyone killed with this bullshit war. Ukraine has been destroyed and Zalinski wants to keep fighting down to the last Ukrainian	1633675506473394176	1593411477515382784	[{'type': 'replied_to', 'id': '1633675506473394176'}]	['1633676705096425477']	2023-03-09T03:50:53.000Z	0	0	0	0	1	1917731			
29	everyone	1633676704903229440	en	Ukraine War   Ukrainian Forces Attacking Russian Bases In Ukraine Helmet Cam 18+ #ukraine #warwanarat #Russia #Germany #UnitedStates #Kyiv #أوكرانيا https://t.co/q9FMbEp74Z	1633676704903229440	1600223437485707278		['1633676704903229440']	2023-03-09T03:50:53.000Z	0	0	0	0	0				
30	everyone	1633676701921157121	en	@auntie_shay @LiverpoolLinda @hifromlaura1 @wallstreet4081 @krassenstein “They“ equal the cabal, maybe keep up &amp; learn what that means? Helinski-the next day he said he read the transcript &amp; had to clarify. Trust me Putin wanted Hillary, she sold them our uranium &amp; was opening a “tech city” for Russia. The cabal runs the FBI, they never obeyed Trump	1633201626998554628	1623183914616463360	[{'type': 'replied_to', 'id': '1633545708094496776'}]	['1633676701921157121']	2023-03-09T03:50:52.000Z	0	0	0	0	0	65941641			
31	everyone	1633676700021141509	en	RT @MememarGaddafi: You can always tell a #NAFO nazi propaganda bot, because all they do is post debunked Russia collusion memes from 2017…	1633676700021141509	1519866102297546752	[{'type': 'retweeted', 'id': '1633627833825148928'}]	['1633676700021141509']	2023-03-09T03:50:52.000Z	4	0	0	0	0				
32	everyone	1633676697982885890	en	RT @ksvarnon: In light of International Women's Day, I feel it is important to continue highlighting the use of rape and sexual assault aga…	1633676697982885890	56430724	[{'type': 'retweeted', 'id': '1633584247154851841'}]	['1633676697982885890']	2023-03-09T03:50:51.000Z	62	0	0	0	0				
