	author_id	username	author_followers	author_tweets	author_description	author_location	text	created_at	retweets	replies	likes	quote_count
1229	909150562905706500	halhbowlesjr	237	3238			"@GicAriana There are now 5 Variations of English,
England or UK, India, Australia, USA  &amp; Canada.
You speak the Queen's version.🇬🇧
Come to the USA, Our English will drive you nuts...
You have corrected me &amp; I learned never put ""The"" before Ukraine, ever! 🇺🇦"	2021-01-20 20:28:06+00:00	0	2	0	0
1230	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@flaviaol @GloboNews Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/BM8S5xO2n7"	2021-01-20 20:27:41+00:00	0	0	0	0
1231	2172715711	bluemanc74	151	3442	Husband. Father. Man City. Business Owner. Expert on a wide range of subjects I know very little about.	Manchester	@lewis_goodall Do you mean like the Democrats not accepting the result of the last election, making up the Russia hoax and the failed Ukraine impeachment?	2021-01-20 20:27:35+00:00	0	0	0	0
1232	1312119563081842688	ShirleysPride	909	49446	JFK Liberal . Biden/ Harris 2020		"@Shenanigan1111 @cary_urso @RepSwalwell Under the Obama Administration, the EU and other World Leaders he was sent to Ukraine to tell the President to fire a prosecutor who REFUSED to investigate corruption.
How does that have anything to do with Humanity ? https://t.co/5g6EC0YNEd"	2021-01-20 20:27:32+00:00	0	1	0	0
1233	1268206883929837568	theonlycsbv	180	5845	I'm told this is supposed to be fun. When does that start? After the revolution?		Biden should make Hunter acting ambassador for Ukraine.	2021-01-20 20:27:29+00:00	0	0	0	0
1234	2344240519	avanti6565	8	4388			"@altadena @Camille78853730 @CNN Read and learn?  https://t.co/FnbryGQsDl
You are forgetting the trump phone call to Georgia wanting them to ""find"" more votes, twice.  Nothing to see there right?"	2021-01-20 20:27:19+00:00	0	1	0	0
1235	1350232574791217153	LibertyNow16	914	16607	Me.		@Geneviv78303229 @JovanHPulitzer Yes. Also the mention of Ukraine is what really caught my eye.	2021-01-20 20:27:06+00:00	0	1	3	0
1236	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@gugtavas Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/ZA7qJrecfM"	2021-01-20 20:27:04+00:00	0	0	0	0
1237	1150625255968268288	scott_ensley	491	26651	Unusual projects, off-grid vehicle conversion, robotics, AI, microcontrollers, Elon companies, hiker.	Spinning planet-shaped object	@TheSpaceGal @POTUS You want to follow this jackass who bribed Ukraine with a billion dollars to fire the investigator looking into Biden corruption? You’re part of the problem then. Time to block you.	2021-01-20 20:26:52+00:00	0	0	1	0
1238	1349176183582306304	robert_scelzo	61	2631	Love Led Zeppelin and fellow conservatives, rap and woke people not so much		@StrberryF @LadyKeith68 @StephenKing Biden has four mansions largely through money his son got from Russia, the CCP, and the Ukraine. He sold his office and laundered the money through his son. So do you hate Biden too?	2021-01-20 20:26:49+00:00	0	1	0	0
1239	1296288201506783232	JBino9	8	3016	American Patriot. No tolerance for hypocrisy, party blindness, intimidation or unilateral thought.		@KaitMarieox It’s time DC had an influx of new ppl. Last time I checked they’re supposed to represent us. I don’t remember agreeing to or wanting to give Ukraine 450mil every year. Or give Pakistan 3mil for gender studies. It’s not that hard. Tell them if you pee standing = boy, sitting, girl	2021-01-20 20:26:45+00:00	0	0	0	0
1240	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@ElElephantes Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/8RiUtoyqsy"	2021-01-20 20:26:27+00:00	0	0	0	0
1241	455552372	BARB4TRUMP	7466	53429	Jesus rules! Love Bl. Mary! Trump wins 2020, God's servant! Jesus picks imperfect to do His perfect will! PRAY! NO DATES/LISTS!Followed by Gen. Mike Flynn! MAGA	California, USA	@VernaOB65889684 @MarshaBlackburn What are you going to take when you stop drinking the Kool-Aid &amp; realize that you voted for a commie traitor who sold out USA to Chyna, Russia, Italy, Ukraine, etc a long time ago? When you learn that Seal Team 6 is dead cuz of him? That he's a pedo &amp; raepist? Well? 5150?	2021-01-20 20:26:19+00:00	0	0	0	0
1242	1045084112900349952	louieesqueda1	16314	30372	i love america and I’m tired of the people who want to tear it down. our government sucks. too many lawyers. USA no DMs means instagram  too joined 9- 25- 18.	Usa 	@JennPellegrino @MorteAiTiranni I think he needs to pay the Ukraine back.	2021-01-20 20:26:19+00:00	0	0	3	0
1243	2394664485	CreoleMo	31	419		Lafayette, LA	@Horsey_McLovin @JesseKellyDC You didn’t...a lot of people are firing off at me and got your comment confused for another. But still, I wouldn’t call the Ukraine issue collusion. More quid pro quo.	2021-01-20 20:26:11+00:00	0	0	0	0
1244	1337151218880311298	cartographer_s	76146	15170	History, Geopolitics and Art across Eurasia | Writing a novel about Byzantine diplomacy	Altai Mountains 	"@bhginee All polities have a downhill trajectory once expansion ends
For Russia's future itll be either a further lose of its post-Soviet space and/or it finally recovers its Western borderlands (Belarus, Ukraine)"	2021-01-20 20:26:08+00:00	0	1	1	0
1245	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@DavidNakamura Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/DrlT4AR7mv"	2021-01-20 20:25:50+00:00	0	0	0	0
1246	208290541	acmom62	754	46010		Ohio, USA	Flashback: Joe Biden ADMITTED Forcing Ukraine to Fire Prosecutor Investigating His Son: https://t.co/nMRqR6dPP1..	2021-01-20 20:25:46+00:00	1	0	0	0
