	id	conversation_id	text	edit_history_tweet_ids	reply_settings	author_id	lang	referenced_tweets	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	withheld.copyright	withheld.country_codes	geo.place_id
4020	1633874221511081993	1633874221511081993	RT @FoxNews: Trump impeachment witness Alexander Vindman accused of trying to profit off Ukraine war with defense contracts https://t.co/bJ…	['1633874221511081993']	everyone	40908168	en	[{'type': 'retweeted', 'id': '1633291202807119877'}]	2023-03-09T16:55:44.000Z	1054	0	0	0	0				
4021	1633874220676706304	1633874220676706304	"RT @bayraktar_1love: U.S. Army personnel trains to droppe grenades from UAV. 
“It was great to see that the U.S. Army is testing different…"	['1633874220676706304']	everyone	1492661690453868552	en	[{'type': 'retweeted', 'id': '1633865440509460481'}]	2023-03-09T16:55:44.000Z	25	0	0	0	0				
4022	1633874217736474624	1633874217736474624	"Why Is the US So Unhappy That China Offered a Peace Proposal?
by Ted Snider
#China #Ukraine #Russia #NATO #UkraineRussiaWar #RussiaUkraineWar 
https://t.co/k6YfT97XQw https://t.co/JBA8KsgWNm"	['1633874217736474624']	everyone	1060618121281765384	en		2023-03-09T16:55:44.000Z	0	0	0	0	45				
4023	1633874216490786816	1633874216490786816	RT @CNN: Russia showered Kyiv, Lviv and other major cities across Ukraine with what officials said was an unprecedented array of missiles o…	['1633874216490786816']	everyone	554613621	en	[{'type': 'retweeted', 'id': '1633824221427113984'}]	2023-03-09T16:55:43.000Z	120	0	0	0	0				
4024	1633874215290937344	1633874215290937344	"Gareth Southgate will discuss England’s World Cup defeat to France with players ahead of matches v Italy &amp; Ukraine.

“There will be a lot of reflection in the buildup to these games on the World Cup. Definitely there are some things we want to talk to the team about.”

📷PA https://t.co/aJbNYMtu7t"	['1633874215290937344']	everyone	999738489779441664	en		2023-03-09T16:55:43.000Z	0	0	9	0	312				
4025	1633874215022501889	1633833376884072453	@BorisJohnson Did you tell him about your £5m donations from oligarchs, sitting on the MI5 report into Russian interference, visiting a KGB  agent in Tuscany and your confidant prediction to Chiefs of Staff there was no need for more tanks a month before Putin rolled into Ukraine? #Kompromat	['1633874215022501889']	everyone	1609852226637336578	en	[{'type': 'replied_to', 'id': '1633833376884072453'}]	2023-03-09T16:55:43.000Z	0	0	0	0	2	3131144855			
4026	1633874212304703489	1633874212304703489	RT @screwtheccp: Why is it controversial to demand an account of how the war machine is spending BILLIONS of our tax dollars in Ukraine?…	['1633874212304703489']	everyone	2691301089	en	[{'type': 'retweeted', 'id': '1633634110366154753'}]	2023-03-09T16:55:42.000Z	310	0	0	0	0				
4027	1633874211922903046	1633867998799994880	@ButtHeadBangers seems weird russia would strike and shut off power to something they control. So before this ukraine was supplying the plant energy occupied by russia? Seems confusing and stressful situation	['1633874211922903046']	everyone	1320760469733445632	en	[{'type': 'replied_to', 'id': '1633870440740589568'}]	2023-03-09T16:55:42.000Z	0	0	0	0	11	1417469562195480578			
4028	1633874211776217088	1633874211776217088	"RT @EuromaidanPress: German ex-Chancellor Angela Merkel partially responsible for Russia's war, Bundestag MP Strack-Zimmermann says

""In 20…"	['1633874211776217088']	everyone	1633130259687022592	en	[{'type': 'retweeted', 'id': '1631709705415294992'}]	2023-03-09T16:55:42.000Z	131	0	0	0	0				
4029	1633874211021398016	1633874211021398016	"What would be the cost ontaxpayers to send McCarthy to Ukraine ?
  How much have you as well as the Jan6 committee cost the taxpayers 🤔 https://t.co/8DhIFhUUyT"	['1633874211021398016']	everyone	25099637	en	[{'type': 'quoted', 'id': '1633658938708090882'}]	2023-03-09T16:55:42.000Z	0	0	0	0	13				
4030	1633874210966700033	1633874210966700033	RT @DarthLavrov: 🇷🇺 What could have stopped our invasion of Ukraine right away?  Hundreds of thousands of pissed off Russians marching towa…	['1633874210966700033']	everyone	1373235940198653953	en	[{'type': 'retweeted', 'id': '1633532592484933650'}]	2023-03-09T16:55:42.000Z	534	0	0	0	0				
4031	1633874210589220864	1633874210589220864	"RT @EuromaidanPress: They went to war when Russia invaded Ukraine. They believed in Freedom, the right to live in their God-given land. 

T…"	['1633874210589220864']	everyone	1504891544867938309	en	[{'type': 'retweeted', 'id': '1633738188488310784'}]	2023-03-09T16:55:42.000Z	306	0	0	0	0				
4032	1633874208794247168	1633874208794247168	"RT @pravda_eng: No military objective, just Russian barbarism – Ukraine's Foreign Minister on Russian night attack

https://t.co/Nj9GqAlB1k"	['1633874208794247168']	everyone	1188970073379213313	en	[{'type': 'retweeted', 'id': '1633871013883813888'}]	2023-03-09T16:55:41.000Z	12	0	0	0	0				
4033	1633874208609701890	1633874208609701890	"RT @Dumbshowsnoise: @bruceanderson @nationalpost He put an end to them when he declared his run for ""PM"" *during a neo-nazi insurrection &amp;…"	['1633874208609701890']	everyone	1080999330461343744	en	[{'type': 'retweeted', 'id': '1633843198186635265'}]	2023-03-09T16:55:41.000Z	2	0	0	0	0				
4034	1633874208295096320	1633874208295096320	"⛔Ukraine vows to ‘find the murderers’ after a video of an apparent POW execution goes viral
🔞👈
Watch full video here
👇👇👇👇
https://t.co/rnVpmFuBao https://t.co/qwZnbZtzjw"	['1633874208295096320']	everyone	498651749	en		2023-03-09T16:55:41.000Z	0	0	0	0	15				
4035	1633874207514976256	1633572394672746497	"@mikelub @Acyn Case was settled in court. Clinton campaign lost. They hired Fusion GPS to produce fabricated evidence. End of story…

https://t.co/balMKZzMPT"	['1633874207514976256']	everyone	61697429	en	[{'type': 'replied_to', 'id': '1633872549145870336'}]	2023-03-09T16:55:41.000Z	0	0	0	0	4	137593748			
4036	1633874203647827968	1633874203647827968	RT @NewsNation: Russian missiles target cities across Ukraine, officials say https://t.co/ModUBCHxj0	['1633874203647827968']	everyone	1631862098958622721	en	[{'type': 'retweeted', 'id': '1633688517023809540'}]	2023-03-09T16:55:40.000Z	3	0	0	0	0				
4037	1633874200854417409	1633874200854417409	"RT @laralogan: Traitor. 

Key Trump Impeachment Witness Busted For Dealing Lucrative Defense Contracts in Ukraine https://t.co/Hjddw6KtCM"	['1633874200854417409']	everyone	838386414	en	[{'type': 'retweeted', 'id': '1633725935848677381'}]	2023-03-09T16:55:40.000Z	1699	0	0	0	0				
4038	1633874200598564865	1633874200598564865	"RT @AlexKokcharov: Purim in a synagogue in #Kharkiv, east #Ukraine, in March 2023. 

#Russia is only 30 km away and shelling Kharkiv severa…"	['1633874200598564865']	everyone	1276172014210949121	en	[{'type': 'retweeted', 'id': '1633873101048905734'}]	2023-03-09T16:55:39.000Z	6	0	0	0	0				
4039	1633874200099278854	1633874200099278854	RT @CNN: Russia showered Kyiv, Lviv and other major cities across Ukraine with what officials said was an unprecedented array of missiles o…	['1633874200099278854']	everyone	1554093370020188160	en	[{'type': 'retweeted', 'id': '1633824221427113984'}]	2023-03-09T16:55:39.000Z	120	0	0	0	0				
4040	1633874199818428418	1633865225291067392	"@POTUS Sir, 
Americans are struggling under your presidency.  The interest rate is going up continuously, and there is no sign of relief. What is more important to the president? American or Ukraine?

There was the lowest interest rate in earlier president.  Please intervene."	['1633874199818428418']	everyone	2919455383	en	[{'type': 'replied_to', 'id': '1633865225291067392'}]	2023-03-09T16:55:39.000Z	0	0	0	0	2	1349149096909668363			
4041	1633874198891483136	1633874198891483136	RT @TimeOutTheatre: Tom Hiddleston will be among readers at the National Theatre’s Poetry for Every Day of the Year event on March 17th in…	['1633874198891483136']	everyone	1143970679139774465	en	[{'type': 'retweeted', 'id': '1633842189091622914'}]	2023-03-09T16:55:39.000Z	48	0	0	0	0				
4042	1633874197226061841	1633874197226061841	Ukrainian energy targeted in biggest Russian missile attack in weeks  https://t.co/GAaYFZIgm3	['1633874197226061841']	everyone	21352952	en		2023-03-09T16:55:39.000Z	0	0	0	0	5				
4043	1633874197201166338	1633874197201166338	"to @SenSchumer USA colonization  Ukraine
2016 Victoria Nuland:@UnderSecStateP 
-US advisors serve in 12 Ukrainian mins/-With US help, newly-vetted &amp; trained police officers patrol 18 cities/-US funds attorneys/-US to Ukraine $266 million train soldiers https://t.co/W8n5T5i6ft"	['1633874197201166338']	everyone	2607703608	en		2023-03-09T16:55:39.000Z	0	0	0	0	15				
4044	1633874195821236225	1633874195821236225	RT @RCamposDuffy: Now we know why ⁦@AVindman⁩ was so interested in Donald Trump’s phone call &amp; weapons going to Ukraine. The corruption we…	['1633874195821236225']	everyone	998397548	en	[{'type': 'retweeted', 'id': '1631732423858814991'}]	2023-03-09T16:55:38.000Z	207	0	0	0	0				
4045	1633874195020136450	1633874195020136450	RT @MFA_Ukraine: An air alert lasted for almost 7 hours throughout the night in #Ukraine due to another massive missile attack launched by…	['1633874195020136450']	everyone	990854772243779584	en	[{'type': 'retweeted', 'id': '1633745370915258368'}]	2023-03-09T16:55:38.000Z	103	0	0	0	0				
4046	1633874194927878144	1633874194927878144	"RT @AlexBondODUA: #NAFOmobile is ready to deliver more support to the front lines 🦸🏼

@WarMonitor3 🫡
@baraban_odessa 🫡

Glory to Ukraine!
G…"	['1633874194927878144']	everyone	1593982566327107588	en	[{'type': 'retweeted', 'id': '1633855181971496960'}]	2023-03-09T16:55:38.000Z	109	0	0	0	0				
4047	1633874193300463616	1633874193300463616	RT @IranIntl_En: @netanyahu Secretary Austin “also highlighted the lethal consequences of Russia's expanding military cooperation with Iran…	['1633874193300463616']	everyone	1506314842369675266	en	[{'type': 'retweeted', 'id': '1633874150413717505'}]	2023-03-09T16:55:38.000Z	2	0	0	0	0				
4048	1633874191723421697	1633874191723421697	"RT @AlexBondODUA: #NAFOmobile is ready to deliver more support to the front lines 🦸🏼

@WarMonitor3 🫡
@baraban_odessa 🫡

Glory to Ukraine!
G…"	['1633874191723421697']	everyone	204462683	en	[{'type': 'retweeted', 'id': '1633855181971496960'}]	2023-03-09T16:55:37.000Z	109	0	0	0	0				
